전출지별,전입지별,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,,이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명)
서울특별시,대전광역시,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,"16,281","19,028","19,496","17,689","20,291","18,790","18,989","18,310","16,685","19,470","17,463","16,154","15,163","14,727","15,557","14,005","14,366","14,871","14,277","13,515","13,632","13,819","13,900","14,080","13,440","13,403","13,453","12,619","11,815"
서울특별시,울산광역시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,"4,545","4,413","4,563","4,105","4,266","4,085","4,456","4,252","4,227","4,656","4,801","5,057","4,845","4,742","5,188","5,691","5,542","6,047","5,950","5,102","4,260"
서울특별시,세종특별자치시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,998","2,851","6,481","7,550","5,943","5,813"
서울특별시,경기도,"130,149","150,313","93,333","143,234","149,045","253,705","202,276","207,722","237,684","278,411","297,539","252,073","320,174","400,875","352,238","390,265","412,535","405,220","415,174","412,933","473,889","384,714","428,344","502,584","542,204","599,411","520,566","495,454","407,050","471,841","435,573","499,575","516,765","457,656","400,206","414,621","449,632","431,637","412,408","398,282","410,735","373,771","354,135","340,801","332,785","359,337","370,760","342,433"
서울특별시,강원도,"9,352","12,885","13,561","16,481","15,479","27,837","25,927","25,415","26,700","27,599","32,858","32,116","31,013","31,308","30,470","29,911","28,489","28,699","26,691","26,394","26,591","25,208","25,215","23,244","21,384","24,987","25,221","25,178","25,840","25,741","22,832","22,941","21,582","21,696","22,071","20,483","21,969","22,177","23,668","23,331","22,736","23,624","22,332","20,601","21,173","22,659","21,590","21,016"
서울특별시,충청북도,"6,700","9,457","10,853","12,617","11,786","21,073","18,029","17,478","18,420","20,047","24,548","23,049","21,256","24,986","22,416","23,391","22,329","21,882","20,853","19,753","21,586","21,021","20,038","18,695","17,270","18,710","18,231","17,998","16,948","17,334","14,934","14,518","13,838","13,478","14,014","13,689","15,221","15,563","15,294","15,295","15,461","15,318","14,555","13,783","14,244","14,379","14,087","13,302"
서울특별시,충청남도,"15,954","18,943","23,406","27,139","25,509","51,205","41,447","43,993","48,091","45,388","54,480","51,369","48,834","55,344","50,318","49,520","47,888","48,678","49,038","31,707","29,993","28,211","26,600","25,958","22,293","26,501","27,159","27,395","25,928","26,726","23,083","22,056","21,155","24,942","30,246","26,012","25,986","28,898","27,458","24,889","24,522","24,723","22,269","21,486","21,473","22,299","21,741","21,020"
서울특별시,전라북도,"10,814","13,192","16,583","18,642","16,647","34,411","29,835","28,444","29,676","31,570","39,396","39,745","37,169","39,175","33,460","34,147","33,661","34,039","36,159","30,538","32,144","26,421","26,220","24,661","21,939","23,837","23,078","22,032","24,307","25,007","22,390","29,470","17,619","28,584","18,171","17,201","18,244","19,891","18,390","18,332","17,569","17,755","16,120","14,909","14,566","14,835","13,835","13,179"
서울특별시,전라남도,"10,513","16,755","20,157","22,160","21,314","46,610","46,251","43,430","44,624","47,934","56,251","57,645","55,408","57,737","52,779","52,629","41,082","42,667","40,695","36,188","35,589","29,925","27,258","25,554","21,737","24,100","23,790","22,773","26,176","29,161","22,969","22,457","18,179","20,432","16,529","17,049","17,329","17,717","16,601","17,468","16,429","15,974","14,765","14,187","14,591","14,598","13,065","12,426"
서울특별시,경상북도,"11,868","16,459","22,073","27,531","26,902","46,177","40,376","41,155","42,940","43,565","48,839","30,928","27,440","29,601","26,842","26,297","26,221","27,844","26,235","22,374","21,490","19,054","19,342","17,604","16,067","17,064","16,899","15,271","16,103","16,604","14,576","14,303","13,762","13,938","13,414","14,550","15,285","15,448","15,425","16,569","16,042","15,818","15,191","14,420","14,456","15,113","14,236","12,464"
